sire,total_runs,total_top3,top3_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
Gun Runner(米),167,72,0.4311377245508982,0.11976047904191617,1613.1736526946108,112900,1568,mile,88.8,96.0
ニシケンモノノフ,163,22,0.13496932515337423,0.03680981595092025,1461.4723926380368,31450,1430,mile,29.2,67.8
コパノリチャード,160,22,0.1375,0.0375,1401.875,33100,1505,mile,68.7,104.5
コントレイル,154,55,0.35714285714285715,0.12987012987012986,1765.5844155844156,96800,1760,mile,0.0,0.0
ローレルゲレイロ,152,21,0.13815789473684212,0.05921052631578947,1506.6447368421052,34770,1656,mile,159.8,106.3
レインボーライン,152,16,0.10526315789473684,0.02631578947368421,1721.1842105263158,28470,1779,mile,73.7,83.2
バンブーエール,151,29,0.19205298013245034,0.046357615894039736,1436.8211920529802,35600,1228,sprint,69.3,101.2
Curlin(米),151,41,0.271523178807947,0.09271523178807947,1775.1655629139073,74400,1815,intermediate,98.6,83.6
アイファーソング,146,22,0.1506849315068493,0.06164383561643835,1609.7260273972602,33200,1509,mile,124.3,115.7
レーヴミストラル,145,16,0.1103448275862069,0.0,1485.8620689655172,20100,1256,sprint,0.0,60.4
ワンダーアキュート,144,25,0.1736111111111111,0.05555555555555555,1936.5972222222222,42300,1692,mile,135.2,97.7
アサクサキングス,144,24,0.16666666666666666,0.027777777777777776,1833.9583333333333,40150,1673,mile,53.9,61.8
ストーミングホームStorming Home(英),144,31,0.2152777777777778,0.05555555555555555,1654.236111111111,48500,1565,mile,114.2,95.4
エピカリス,144,17,0.11805555555555555,0.027777777777777776,1547.9166666666667,27750,1632,mile,23.2,91.5
トーセンファントム,143,31,0.21678321678321677,0.06993006993006994,1577.6223776223776,46420,1497,mile,119.2,95.9
Golden Horn(英),139,37,0.26618705035971224,0.05755395683453238,1959.4964028776978,76870,2078,intermediate,46.6,81.3
Practical Joke(米),136,33,0.2426470588235294,0.10294117647058823,1378.6764705882354,47300,1433,mile,69.5,64.4
アルデバランIIAldebaran(米),136,12,0.08823529411764706,0.022058823529411766,1438.235294117647,17500,1458,mile,77.5,82.5
ヘニーハウンド,133,27,0.20300751879699247,0.08270676691729323,1446.1654135338347,39600,1467,mile,126.6,87.9
