phase,par_blend,ability_bias_sec,transfer_strength,mae,score,w_surface_only,w_distance_only,w_both
1,0.25,-1.0,0.0,28.406794294294293,28.569759984849455,,,
1,0.0,-2.0,1.0,30.37351101101101,30.400310228738157,,,
1,0.0,-2.0,0.5,30.37351101101101,30.400310228738157,,,
1,0.0,-2.0,0.0,30.37351101101101,30.400310228738157,,,
1,0.0,-2.0,0.0,30.452127127127127,30.515044405710473,,,
1,0.0,-2.0,0.5,30.452127127127127,30.515044405710473,,,
1,0.0,-2.0,1.0,30.452127127127127,30.515044405710473,,,
1,0.0,-2.0,0.0,30.515628128128128,30.597695469448322,,,
1,0.0,-2.0,1.0,30.515628128128128,30.597695469448322,,,
1,0.0,-2.0,0.5,30.515628128128128,30.597695469448322,,,
1,0.25,-2.0,1.0,31.62474974974975,31.762314438123074,,,
1,0.25,-2.0,0.5,31.62474974974975,31.762314438123074,,,
1,0.25,-2.0,0.0,31.62474974974975,31.762314438123074,,,
1,0.25,-2.0,0.5,31.766303803803805,31.92031257664563,,,
1,0.25,-2.0,1.0,31.766303803803805,31.92031257664563,,,
1,0.25,-2.0,0.0,31.766303803803805,31.92031257664563,,,
1,0.25,-2.0,1.0,31.848123123123123,32.00668582464757,,,
1,0.25,-2.0,0.5,31.848123123123123,32.00668582464757,,,
1,0.25,-2.0,0.0,31.848123123123123,32.00668582464757,,,
1,0.5,0.5,0.5,33.1253003003003,33.24775134280244,,,
1,0.5,0.5,0.0,33.1253003003003,33.24775134280244,,,
1,0.5,0.5,1.0,33.1253003003003,33.24775134280244,,,
1,0.5,1.0,0.0,33.2491991991992,33.369992557767134,,,
1,0.5,1.0,0.5,33.2491991991992,33.369992557767134,,,
1,0.5,1.0,1.0,33.2491991991992,33.369992557767134,,,
1,0.5,0.0,0.0,33.302990490490494,33.43214229583945,,,
1,0.5,0.0,1.0,33.302990490490494,33.43214229583945,,,
1,0.5,0.0,0.5,33.302990490490494,33.43214229583945,,,
1,0.5,0.5,1.0,33.455392892892895,33.59316610072673,,,
1,0.5,0.5,0.5,33.455392892892895,33.59316610072673,,,
1,0.5,0.5,0.0,33.455392892892895,33.59316610072673,,,
1,0.5,1.0,0.0,33.57087087087087,33.7063416218754,,,
1,0.5,1.0,1.0,33.57087087087087,33.7063416218754,,,
1,0.5,1.0,0.5,33.57087087087087,33.7063416218754,,,
1,0.5,0.0,0.0,33.59552052052052,33.734493626913576,,,
1,0.5,0.0,0.5,33.59552052052052,33.734493626913576,,,
1,0.5,0.0,1.0,33.59552052052052,33.734493626913576,,,
1,0.5,0.5,1.0,33.62107107107107,33.75958193293143,,,
1,0.5,0.5,0.0,33.62107107107107,33.75958193293143,,,
1,0.5,0.5,0.5,33.62107107107107,33.75958193293143,,,
1,0.5,-0.5,1.0,33.72382382382382,33.85625484088603,,,
1,0.5,-0.5,0.5,33.72382382382382,33.85625484088603,,,
1,0.5,-0.5,0.0,33.72382382382382,33.85625484088603,,,
1,0.5,1.0,0.0,33.742992992992995,33.880126378994724,,,
1,0.5,1.0,1.0,33.742992992992995,33.880126378994724,,,
1,0.5,1.0,0.5,33.742992992992995,33.880126378994724,,,
1,0.5,0.0,1.0,33.763563563563565,33.90886233870213,,,
1,0.5,0.0,0.0,33.763563563563565,33.90886233870213,,,
1,0.5,0.0,0.5,33.763563563563565,33.90886233870213,,,
1,0.5,-0.5,0.5,33.98965215215215,34.136553474577084,,,
1,0.5,-0.5,0.0,33.98965215215215,34.136553474577084,,,
1,0.5,-0.5,1.0,33.98965215215215,34.136553474577084,,,
1,0.5,-0.5,0.5,34.15860860860861,34.303199865929955,,,
1,0.5,-0.5,0.0,34.15860860860861,34.303199865929955,,,
1,0.5,-0.5,1.0,34.15860860860861,34.303199865929955,,,
1,0.5,-1.0,0.5,34.331381381381384,34.46413579065466,,,
1,0.5,-1.0,0.0,34.331381381381384,34.46413579065466,,,
1,0.5,-1.0,1.0,34.331381381381384,34.46413579065466,,,
1,0.5,2.0,0.0,34.5238988988989,34.64519712573936,,,
1,0.5,2.0,0.5,34.5238988988989,34.64519712573936,,,
1,0.5,2.0,1.0,34.5238988988989,34.64519712573936,,,
1,0.5,-1.0,0.0,34.56737987987988,34.7154474513855,,,
1,0.5,-1.0,0.5,34.56737987987988,34.7154474513855,,,
1,0.5,-1.0,1.0,34.56737987987988,34.7154474513855,,,
1,0.5,-1.0,0.0,34.71768018018018,34.86784645440045,,,
1,0.5,-1.0,1.0,34.71768018018018,34.86784645440045,,,
1,0.5,-1.0,0.5,34.71768018018018,34.86784645440045,,,
1,0.5,2.0,0.0,34.76836836836837,34.897800582073245,,,
1,0.5,2.0,1.0,34.76836836836837,34.897800582073245,,,
1,0.5,2.0,0.5,34.76836836836837,34.897800582073245,,,
1,0.5,2.0,0.0,34.93883883883884,35.06907589060764,,,
1,0.5,2.0,0.5,34.93883883883884,35.06907589060764,,,
1,0.5,2.0,1.0,34.93883883883884,35.06907589060764,,,
1,0.5,-2.0,0.5,36.0014014014014,36.135709482633644,,,
1,0.5,-2.0,0.0,36.0014014014014,36.135709482633644,,,
1,0.5,-2.0,1.0,36.0014014014014,36.135709482633644,,,
1,0.5,-2.0,0.5,36.10198948948949,36.248347296238514,,,
1,0.5,-2.0,0.0,36.10198948948949,36.248347296238514,,,
1,0.5,-2.0,1.0,36.10198948948949,36.248347296238514,,,
1,0.5,-2.0,0.0,36.17947947947948,36.32966337822668,,,
1,0.5,-2.0,0.5,36.17947947947948,36.32966337822668,,,
1,0.5,-2.0,1.0,36.17947947947948,36.32966337822668,,,
1,0.75,0.5,0.0,37.309296796796794,37.425162339381686,,,
1,0.75,0.5,1.0,37.309296796796794,37.425162339381686,,,
1,0.75,0.5,0.5,37.309296796796794,37.425162339381686,,,
1,0.75,1.0,0.0,37.37384884884885,37.48612250070595,,,
1,0.75,1.0,0.5,37.37384884884885,37.48612250070595,,,
1,0.75,1.0,1.0,37.37384884884885,37.48612250070595,,,
1,0.75,0.0,0.5,37.49496996996997,37.613799885570984,,,
1,0.75,0.0,1.0,37.49496996996997,37.613799885570984,,,
1,0.75,0.0,0.0,37.49496996996997,37.613799885570984,,,
1,0.75,0.5,0.0,37.79146646646647,37.920165836261766,,,
1,0.75,0.5,0.5,37.79146646646647,37.920165836261766,,,
1,0.75,0.5,1.0,37.79146646646647,37.920165836261766,,,
1,0.75,-0.5,0.5,37.899662162162166,38.018303501842496,,,
